cnpj,razao_social,uf,situacao,capital_social,cnae,fonte
15382091000144,MAXIMA PRIVATE EQUITY X FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14576983000113,MÁXIMA PRIVATE EQUITY III FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14580627000173,MÁXIMA PRIVATE EQUITY IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
60746948000112,BANCO BRADESCO S.A.,,,,,cvm_papel
14580349000154,MÁXIMA PRIVATE EQUITY V FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14587971000194,MÁXIMA PRIVATE EQUITY II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
13259717000102,MÁXIMA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
13707891000162,VIAJA BRASIL FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
46745079000180,FERGUS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
32287774000131,MANCHESTER I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
16925467000182,GLOBAL GESTÃO E INVESTIMENTOS LTDA,,,,,cvm_papel
32287737000123,B4 TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
04894438000111,MAXIMA FMP-FGTS VALE DO RIO DOCE,,EM SITUAÇÃO ESPECIAL,,FUNDO DE INVESTIMENTO,cvm
