data_entrada,socio,tipo_socio,cargo,empresa,cnpj_empresa,uf_empresa
2013-10-31,CARLOS ALBERTO INOCENCIO,PF,Administrador,MASTER PATRIMONIAL LTDA,03566273000196,RJ
2013-10-31,JOSE RICARDO DE QUEIROZ PEREIRA,PF,Sócio-Administrador,MASTER PATRIMONIAL LTDA,03566273000196,RJ
2013-11-05,EDUARDO TELLECHEA CAIROLI,PF,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS
2015-02-03,DANIEL BUENO VORCARO,PF,Sócio,PIRES FOMENTO MERCANTIL LTDA,11519788000163,MG
2015-05-14,ANGELA AGOSTINI VASCONCELLOS,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP
2015-05-14,MARCELO ALBERTO COUTO,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP
2015-07-24,CONCESSOES E PARTICIPACOES BR LTDA,PJ,Sócio,ORION BH DESENVOLVIMENTO IMOBILIARIO SPE LTDA,22921619000171,SP
2015-07-24,DANIEL BUENO VORCARO,PF,Administrador,ORION BH DESENVOLVIMENTO IMOBILIARIO SPE LTDA,22921619000171,SP
2015-07-24,FELIPE CANCADO VORCARO,PF,Administrador,ORION BH DESENVOLVIMENTO IMOBILIARIO SPE LTDA,22921619000171,SP
2015-07-24,PACIFIC REALTY S/A,PJ,Sócio,ORION BH DESENVOLVIMENTO IMOBILIARIO SPE LTDA,22921619000171,SP
2015-10-21,VITOR MANUEL FARINHA NUNES,PF,Conselheiro de Administração,BANCO MASTER MULTIPLO S.A.,33884941000194,SP
2015-10-23,BRUNO LOPRESTI LAGE,PF,Administrador,CATALISE INVESTIMENTOS LTDA,18223260000191,PR
2015-12-02,NATALIA BUENO VORCARO ZETTEL,PF,Diretor,PACIFIC REALTY S/A,12909472000140,MG
2016-02-02,CLAUDIO BLANCO MORENO,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP
2016-02-02,DANILO CASTRO FERREIRA,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP
2016-02-02,DIOGENES ROCHA MENEZES DA SILVA,PF,Diretor,TERCON INVESTIMENTOS S.A.,09121454000195,SP
2016-04-04,ADEMIR SILVA OLIVEIRA,PF,Administrador,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP
2017-07-07,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ
2017-07-07,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ
2017-07-26,LUIZ FELIPPE CRUZ GENERALI,PF,Sócio-Administrador,SMART AGRO INVESTIMENTOS LTDA,28264093000180,SP
2017-07-26,THIAGO MALZONI MONTEIRO,PF,Sócio-Administrador,SMART AGRO INVESTIMENTOS LTDA,28264093000180,SP
2017-10-06,RENATA FERRAZ DE ANDRADE DE ALMEIDA SOUZA,PF,Administrador,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,28810952000190,SP
2017-12-01,DANIEL BUENO VORCARO,PF,Presidente,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ
2017-12-27,LUIZ ANTONIO BULL,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ
2018-01-04,LUIZ ANTONIO BULL,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ
2019-01-15,ROGERIO PENTEADO FELGUEIRAS,PF,Administrador,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,SP
2019-02-14,GUILHERME MOURAO VAZ,PF,Diretor,LIBERTAS ASSET S.A.,32764855000185,MG
2019-02-14,MARCELO FARIA RODRIGUES,PF,Diretor,LIBERTAS ASSET S.A.,32764855000185,MG
2019-02-18,GUSTAVO AUGUSTO VASCONCELOS BIAVA,PF,Sócio-Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP
2019-03-06,PORTO TRANCOSO EMPREENDIMENTOS IMOBILIARIOS S/A,PJ,Sócio,CONCESSOES E PARTICIPACOES BR LTDA,50969583000131,SP
2019-03-06,JOAQUIM ROMEU ESPINHEIRA TEIXEIRA FERRAZ,PF,Diretor,PORTO TRANCOSO EMPREENDIMENTOS IMOBILIARIOS S/A,06177610000141,SP
2019-03-29,BRUNO LOPRESTI LAGE,PF,Diretor,CATALISE CAPITAL PARTNERS S.A.,33194855000150,PR
2019-03-29,MARCELO AKIRA AOKI,PF,Diretor,CATALISE CAPITAL PARTNERS S.A.,33194855000150,PR
2019-06-10,CATALISE CAPITAL PARTNERS S.A.,PJ,Sócio,CATALISE INVESTIMENTOS LTDA,18223260000191,PR
2019-09-11,SILVANO GERSZTEL,PF,Presidente,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,34829992000186,SP
2019-10-15,WELBERT LEROY NEVES,PF,Administrador,GLOBAL GESTAO E INVESTIMENTOS LTDA,16925467000182,MG
2019-12-31,ARTUR MARTINS DE FIGUEIREDO,PF,Diretor,TRUSTEE HOLDING FINANCEIRA S/A,37665902000157,SP
2020-01-03,JOSE ROBERTO GIANCOLI FILHO,PF,Sócio-Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP
2020-01-17,RAFAEL FLORES NUNES,PF,Administrador,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,36040900000100,RS
2020-06-18,RENATO STEINLE DE CAMARGO,PF,Diretor,GASP PARTICIPACOES E INVESTIMENTOS S.A.,09006837000112,MS
2020-06-29,RENATO STEINLE DE CAMARGO,PF,Administrador,CONTROL PARTICIPACOES LTDA.,04817613000177,MS
2020-08-10,ANTONIO CARLOS AMANCIO,PF,Presidente,SEFERPAR PARTICIPACOES E INVESTIMENTOS S.A.,35302718000117,SP
2020-09-15,MAURICIO ANTONIO QUADRADO,PF,Diretor,BANVOX HOLDING FINANCEIRA S.A.,38461854000148,SP
2020-09-24,RENATO STEINLE DE CAMARGO,PF,Administrador,ASTER PETROLEO LTDA.,02377759000113,SP
2020-09-25,ARTUR MARTINS DE FIGUEIREDO,PF,Diretor,BANVOX HOLDING FINANCEIRA S.A.,38461854000148,SP
2020-10-22,TRUSTEE HOLDING FINANCEIRA S/A,PJ,Sócio,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP
2020-11-06,RAFAEL VIEIRA E FORNARI,PF,Sócio-Administrador,SIRLOIN PARTICIPACOES LTDA,39701783000176,SP
2021-01-04,RODRIGO JOSE RODRIGUES,PF,Sócio-Administrador,SIRLOIN PARTICIPACOES LTDA,39701783000176,SP
2021-01-10,VINICIUS DA SILVA PINTO,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ
2021-02-23,JAGUAR FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,PJ,Sócio,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP
2021-02-23,SIRLOIN PARTICIPACOES LTDA,PJ,Sócio,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP
2021-02-23,VIVIANE APARECIDA RODRIGUES AFONSO,PF,Administrador,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP
2021-02-26,WALESSA ALVES LEAL,PF,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS
2021-06-02,MAURICIO ANTONIO QUADRADO,PF,Sócio,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP
2021-06-17,ALAN RIGONI DE ALMEIDA SOUZA,PF,Administrador,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181,SP
2021-06-17,JOSE ROLDAO DE ALMEIDA SOUZA,PF,Sócio-Administrador,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181,SP
2021-06-17,RENATA FERRAZ DE ANDRADE DE ALMEIDA SOUZA,PF,Administrador,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181,SP
2021-06-17,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,PJ,Sócio,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181,SP
2021-08-18,ANA CLAUDIA QUEIROZ DE PAIVA,PF,Diretor,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,31446245000170,SP
2021-09-08,FELIPE FELIX SOARES DE SOUSA,PF,Diretor,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO - EM LIQUIDACAO EXTRAJUDICIAL",23862762000100,SP
2021-09-08,RICARDO SAAD NETO,PF,Diretor,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO - EM LIQUIDACAO EXTRAJUDICIAL",23862762000100,SP
2021-11-23,FELIPE WALLACE SIMONSEN,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ
2022-01-24,LUIZ FELIPE SEEGMULLER DE CARVALHO,PF,Sócio-Administrador,MONETIZA INVESTIMENTOS LTDA,06238550000120,PR
2022-05-09,ADEMIR SILVA OLIVEIRA,PF,Sócio-Administrador,CARMEL CAPITAL PARTICIPACOES LTDA,46312903000109,SP
2022-05-09,ALEXANDRE JORGE CHAIA,PF,Administrador,CARMEL CAPITAL PARTICIPACOES LTDA,46312903000109,SP
2022-05-24,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,PF,Diretor,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,34829992000186,SP
2022-06-10,ADEMIR SILVA OLIVEIRA,PF,Sócio-Administrador,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2022-06-10,ALEXANDRE JORGE CHAIA,PF,Sócio-Administrador,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2022-06-10,CARMEL CAPITAL PARTICIPACOES LTDA,PJ,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2022-07-08,JOSE RICARDO DE QUEIROZ PEREIRA,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ
2022-08-17,ALEXANDRE JORGE CHAIA,PF,Administrador,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP
2022-08-17,CARMEL CAPITAL PARTICIPACOES LTDA,PJ,Sócio,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP
2022-08-17,SAUSALITO PARTICIPACOES LTDA,PJ,Sócio,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP
2022-08-26,ESTEVAM BORALI,PF,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP
2022-09-12,FELIPE MOTA SEPAROVIC RODRIGUES,PF,Sócio-Administrador,AXOR ASSET LTDA,47917164000141,SP
2022-10-19,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,09526594000143,SP
2022-10-19,LUIZ ANTONIO BULL,PF,Diretor,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,09526594000143,SP
2022-11-09,CAMILA DA SILVA FERREIRA OLIVEIRA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2022-11-09,ROGERIO AVERSA DE OLIVEIRA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2022-11-09,THAYUHANY PEREIRA TELES SILVA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2022-12-05,MAURICIO ANTONIO QUADRADO,PF,Diretor,TRUSTEE HOLDING FINANCEIRA S/A,37665902000157,SP
2023-02-03,EDWARD BERTELLI JUNIOR,PF,Diretor,LIBERTAS ASSET S.A.,32764855000185,MG
2023-02-13,ANDRE KRUSCHEWSKY LIMA,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ
2023-02-13,AUGUSTO FERREIRA LIMA,PF,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,33923798000100,RJ
2023-02-16,REINALDO HOSSEPIAN SALLES LIMA,PF,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",33886862000112,RJ
2023-03-28,LUIZ EDUARDO DE MEDEIROS COSTA,PF,Sócio-Administrador,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",09463122000199,SP
2023-07-28,ANDREA LANZETTI DA SILVA,PF,Sócio-Administrador,BARTHMAN HOLDING LTDA,51600603000165,SP
2023-07-28,LUCAS LANZETTI BARTHMAN,PF,Sócio-Administrador,BARTHMAN HOLDING LTDA,51600603000165,SP
2023-07-28,TAINARA LANZETTI BARTHMAN,PF,Sócio-Administrador,BARTHMAN HOLDING LTDA,51600603000165,SP
2023-08-14,BARTHMAN HOLDING LTDA,PJ,Sócio,3P HOLDING LTDA,51806219000113,SP
2023-08-14,WEAKER BATISTA NETO,PF,Administrador,3P HOLDING LTDA,51806219000113,SP
2023-08-14,YCNEX PARTICIPACOES S/A,PJ,Sócio,3P HOLDING LTDA,51806219000113,SP
2023-09-13,GUSTAVO AUGUSTO VASCONCELOS BIAVA,PF,Administrador,ID PARTNERS LTDA,52167766000169,SP
2023-09-13,JOSE ROBERTO GIANCOLI FILHO,PF,Administrador,ID PARTNERS LTDA,52167766000169,SP
2023-09-15,GUSTAVO AUGUSTO VASCONCELOS BIAVA,PF,Administrador,ID ACCESS LTDA,52195129000104,SP
2023-09-15,ID PARTNERS LTDA,PJ,Sócio,ID ACCESS LTDA,52195129000104,SP
2023-09-15,ISABELE PERES CHIARADIA BISSOLI,PF,Sócio,ID ACCESS LTDA,52195129000104,SP
2023-09-15,JENNYFER ANJOS,PF,Sócio,ID ACCESS LTDA,52195129000104,SP
2023-09-15,JOSE ROBERTO GIANCOLI FILHO,PF,Administrador,ID ACCESS LTDA,52195129000104,SP
2023-09-15,LUCIMARA DE ARAUJO LIMA,PF,Sócio,ID ACCESS LTDA,52195129000104,SP
2023-09-19,GIOVANNI PIANA NETTO,PF,Sócio-Administrador,WILL BANK HOLDING FINANCEIRA LTDA,51213651000109,SP
2023-09-19,WALTER JOSE BOINA PIANA,PF,Sócio-Administrador,WILL BANK HOLDING FINANCEIRA LTDA,51213651000109,SP
2023-09-19,WALTER JOSE PIANA,PF,Sócio,WILL BANK HOLDING FINANCEIRA LTDA,51213651000109,SP
2023-09-21,HENRIQUE MOURA VORCARO,PF,Presidente,PACIFIC REALTY S/A,12909472000140,MG
2023-10-27,ANDRE KRUSCHEWSKY LIMA,PF,Diretor,BANCO MASTER MULTIPLO S.A.,33884941000194,SP
2023-10-27,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,BANCO MASTER MULTIPLO S.A.,33884941000194,SP
2023-10-27,LUIZ ANTONIO BULL,PF,Presidente,BANCO MASTER MULTIPLO S.A.,33884941000194,SP
2023-10-31,MARCOS ANTONIO DA COSTA BAPTISTA,PF,Diretor,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,34829992000186,SP
2023-11-07,MARCOS ANTONIO DA COSTA BAPTISTA,PF,Administrador,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA,23863529000134,SP
2023-11-08,GUARACI SILLOS MOREIRA,PF,Sócio,CARMEL CAPITAL PARTICIPACOES LTDA,46312903000109,SP
2023-11-09,ID ACCESS LTDA,PJ,Sócio,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP
2023-11-09,ID PARTNERS LTDA,PJ,Sócio,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP
2023-11-09,LUCIMARA DE ARAUJO LIMA,PF,Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP
2023-11-10,GUARACI SILLOS MOREIRA,PF,Administrador,CARMEL GESTORA DE ATIVOS LTDA,24515907000151,SP
2023-11-27,ANDRE LUIS FAUTH,PF,Diretor,CATALISE CAPITAL PARTNERS S.A.,33194855000150,PR
2023-12-14,SILVIO BARRETO DA SILVA,PF,Diretor,LORMONT PARTICIPACOES S.A,34263138000103,SP
2023-12-22,MOISES EDUARDO SOARES PEREIRA,PF,Sócio-Administrador,PIMA ENERGIA PARTICIPACOES LTDA,53294384000169,SP
2024-01-18,ARGEU DE LIMA GEO FILHO,PF,Diretor,RDA MINERACAO S.A.,50365044000193,SP
2024-01-18,RODRIGO ANDRADE VALADARES GONTIJO,PF,Diretor,RDA MINERACAO S.A.,50365044000193,SP
2024-01-18,RODRIGO MEDRADO GEO,PF,Diretor,RDA MINERACAO S.A.,50365044000193,SP
2024-01-18,MOISES EDUARDO SOARES PEREIRA,PF,Administrador,HD PETROLEO LTDA,21228180000133,PI
2024-01-18,PIMA ENERGIA PARTICIPACOES LTDA,PJ,Sócio,HD PETROLEO LTDA,21228180000133,PI
2024-02-26,VINICIUS GONCALVES GARCIA,PF,Sócio,ID ACCESS LTDA,52195129000104,SP
2024-04-02,NILEIDE GUERRA DE ABREU,PF,Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163,SP
2024-04-12,VANESSA SCALANTE JOHANN,PF,Sócio,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS
2024-05-01,RENATA FERRAZ DE ANDRADE DE ALMEIDA SOUZA,PF,Sócio-Administrador,ACQUA&CO CAPITAL LTDA,54958358000150,SP
2024-06-20,BANVOX HOLDING FINANCEIRA S.A.,PJ,Sócio,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,SP
2024-06-20,ESTEVAM BORALI,PF,Administrador,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,SP
2024-06-20,MAURICIO ANTONIO QUADRADO,PF,Sócio,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,SP
2024-07-02,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,MASTER PARTICIPACOES S.A.,55757077000100,SP
2024-07-02,DANIEL BUENO VORCARO,PF,Diretor,MASTER PARTICIPACOES S.A.,55757077000100,SP
2024-07-02,LUIZ ANTONIO BULL,PF,Diretor,MASTER PARTICIPACOES S.A.,55757077000100,SP
2024-07-16,CINTIA SILVA OLIVEIRA COSTA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2024-07-16,GUARACI SILLOS MOREIRA,PF,Sócio-Administrador,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2024-07-16,GUSTAVO RODRIGUES OLIVEIRA E SILVA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2024-07-16,JOSE ROBERTO SILVA OLIVEIRA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2024-07-23,LEONARDO AUGUSTO FURTADO PALHARES,PF,Diretor,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,31446245000170,SP
2024-09-20,VIVIANE APARECIDA RODRIGUES AFONSO,PF,Diretor,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,58497702000102,SP
2024-09-30,MARCOS FERREIRA COSTA,PF,Administrador,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA,23863529000134,SP
2024-10-02,RAFAEL FLORES NUNES,PF,Diretor,HARBOUR HOLDING S.A,57529533000182,RS
2024-10-10,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,MASTER SERVICOS S.A.,55997450000192,SP
2024-10-10,DANIEL BUENO VORCARO,PF,Presidente,MASTER SERVICOS S.A.,55997450000192,SP
2024-10-10,LUIZ ANTONIO BULL,PF,Diretor,MASTER SERVICOS S.A.,55997450000192,SP
2024-10-24,3P HOLDING LTDA,PJ,Sócio,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP
2024-10-24,ALEXANDRE PIOVESAN,PF,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP
2024-10-24,LUCIANO WAJCHENBERG,PF,Sócio-Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP
2024-10-24,RODRIGO FRANCISCO DOS SANTOS,PF,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP
2024-11-01,ROBERTO MUSTO,PF,Diretor,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,58497702000102,SP
2024-11-01,MAURICIO ANTONIO QUADRADO,PF,Presidente,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,58497702000102,SP
2024-11-01,REINALDO HOSSEPIAN SALLES LIMA,PF,Diretor,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,58497702000102,SP
2024-12-02,MARCOS FERREIRA COSTA,PF,Diretor,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,34829992000186,SP
2024-12-17,HARBOUR HOLDING S.A,PJ,Sócio,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,36040900000100,RS
2025-01-15,LUIZ ANTONIO CARDOSO,PF,Sócio-Administrador,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",09463122000199,SP
2025-01-22,ACQUA&CO CAPITAL LTDA,PJ,Sócio,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,28810952000190,SP
2025-03-17,BRUNO CUNHA ALMEIDA,PF,Diretor,BANCO PAULISTA S.A.,61820817000109,SP
2025-03-26,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,PJ,Sócio,CARMEL CAPITAL PARTICIPACOES LTDA,46312903000109,SP
2025-05-05,ALEXANDRE MARCHESANI CANATA,PF,Administrador,AXOR ASSET LTDA,47917164000141,SP
2025-05-12,COMPANHIA BRASILEIRA DE SERVICOS FINANCEIROS,PJ,Sócio,CBSF PARTICIPACOES LTDA,60772259000182,SP
2025-05-12,SILVANO GERSZTEL,PF,Administrador,CBSF PARTICIPACOES LTDA,60772259000182,SP
2025-05-20,ANGELO ANTONIO RIBEIRO DA SILVA,PF,Diretor,DV HOLDING FINANCEIRA SA,57445179000108,SP
2025-05-20,DANIEL BUENO VORCARO,PF,Presidente,DV HOLDING FINANCEIRA SA,57445179000108,SP
2025-05-20,LUIZ ANTONIO BULL,PF,Diretor,DV HOLDING FINANCEIRA SA,57445179000108,SP
2025-06-13,ROGERIO PENTEADO FELGUEIRAS,PF,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP
2025-06-25,GIOVANA DIRENE CHAIA,PF,Sócio,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,02166941000125,SP
2025-06-25,VICTOR DIRENE CHAIA,PF,Sócio,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,02166941000125,SP
2025-07-01,RICARDO SILVA VASCONCELLOS,PF,Administrador,ACURA GESTORA DE RECURSOS LTDA.,18167777000100,SP
2025-07-18,ROBSON SHOITI SAKURAI,PF,Diretor,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,34829992000186,SP
