cnpj,razao_social,uf,situacao,capital_social,cnae,fonte
16685929000131,FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,,EM FUNCIONAMENTO NORMAL,,FUNDO DE INVESTIMENTO,cvm
03066219000181,FUNDO UNICO DE PREVIDENCIA SOCIAL DO ESTADO DO RIO DE JANEIRO,RJ,ATIVA,,Seguridade social obrigatória,minha_receita
09006837000112,GASP PARTICIPACOES E INVESTIMENTOS S.A.,MS,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
51566307000195,GDN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
51569573000171,GDN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
10791605000100,GESTACAR GESTAO DE NEGOCIOS LTDA,MG,BAIXADA,100000.0,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",minha_receita
08736176000118,GESTACAR HOLDING S.A,MG,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
16925467000182,GLOBAL GESTAO E INVESTIMENTOS LTDA,MG,ATIVA,300000.0,Agentes de investimentos em aplicações financeiras,minha_receita
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITORIO NAO PADRONIZADO,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita
32088041000178,HANS 95 FUNDO DE INVESTIMENTO MULTIMERCADO E INVESTIMENTO NO EXTERIOR - CREDITO PRIVADO,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita
36040900000100,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,RS,ATIVA,10000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
57529533000182,HARBOUR HOLDING S.A,RS,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
21228180000133,HD PETROLEO LTDA,PI,SUSPENSA,300000.0,Comércio varejista de combustíveis para veículos automotores,minha_receita
52195129000104,ID ACCESS LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
21046086000163,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,SP,SUSPENSA,51565.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
52167766000169,ID PARTNERS LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
50167484000136,IDEIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
03403181000195,INFINITY ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA.,SP,ATIVA,9135000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
49088419000136,INFINITY DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
42639133000152,ITC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
32203088000135,JAGUAR FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita_qsa
45563675000187,K-INVESTING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
31368739000184,KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
29786909000107,LANCIA! FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita
32764855000185,LIBERTAS ASSET S.A.,MG,ATIVA,1750000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
34263138000103,LORMONT PARTICIPACOES S.A,SP,ATIVA,448981250.0,Holdings de instituições não-financeiras,minha_receita
21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,SP,ATIVA,500000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
37178959000121,MAM EAGLE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
41709776000162,MAM SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
32287774000131,MANCHESTER I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
42584801000191,MARANTA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CREDITO PRIVADO,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita
41576095000173,MARLIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
55757077000100,MASTER PARTICIPACOES S.A.,SP,ATIVA,1190852600.0,Holdings de instituições não-financeiras,minha_receita
03566273000196,MASTER PATRIMONIAL LTDA,RJ,ATIVA,37205044.0,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",minha_receita
33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",RJ,ATIVA,43587816.0,Corretoras de títulos e valores mobiliários,minha_receita
55997450000192,MASTER SERVICOS S.A.,SP,ATIVA,502.0,Holdings de instituições não-financeiras,minha_receita
04894438000111,MAXIMA FMP-FGTS VALE DO RIO DOCE,,EM SITUAÇÃO ESPECIAL,,FUNDO DE INVESTIMENTO,cvm
15381923000108,MAXIMA PRIVATE EQUITY IX FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15383998000128,MAXIMA PRIVATE EQUITY VI FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15388976000150,MAXIMA PRIVATE EQUITY VII FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15388352000133,MAXIMA PRIVATE EQUITY VIII FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
15382091000144,MAXIMA PRIVATE EQUITY X FUNDO DE INVESTIMENTO EM PARTICIPACOES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
50543106000100,MENESTYS GESTORA DE RECURSOS LTDA,SP,ATIVA,50010.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
30142469000126,META FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
37569593000111,MJC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
06238550000120,MONETIZA INVESTIMENTOS LTDA,PR,ATIVA,30000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
02727085000130,MÁXIMA  FMP - FGTS  PETROBRAS,,EM FUNCIONAMENTO NORMAL,,FUNDO DE INVESTIMENTO,cvm
13259717000102,MÁXIMA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14587971000194,MÁXIMA PRIVATE EQUITY II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14576983000113,MÁXIMA PRIVATE EQUITY III FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14580627000173,MÁXIMA PRIVATE EQUITY IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
14580349000154,MÁXIMA PRIVATE EQUITY V FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
22921619000171,ORION BH DESENVOLVIMENTO IMOBILIARIO SPE LTDA,SP,BAIXADA,10000.0,Incorporação de empreendimentos imobiliários,minha_receita
12909472000140,PACIFIC REALTY S/A,MG,ATIVA,,Aluguel de imóveis próprios,minha_receita_qsa
34849800000101,PAG AÍ FUNDO DE INVESTIMENTO EM DIREITOS DE CREDITO,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
53294384000169,PIMA ENERGIA PARTICIPACOES LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
11519788000163,PIRES FOMENTO MERCANTIL LTDA,MG,BAIXADA,1000000.0,Sociedades de fomento mercantil - factoring,minha_receita
35940506000165,PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
06177610000141,PORTO TRANCOSO EMPREENDIMENTOS IMOBILIARIOS S/A,SP,ATIVA,,Incorporação de empreendimentos imobiliários,minha_receita_qsa
19207159000100,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,RS,ATIVA,501000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
35506825000167,PROFIT MAPS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
26686967000162,RAYDAN INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
50365044000193,RDA MINERACAO S.A.,SP,BAIXADA,1269739300.0,Holdings de instituições não-financeiras,minha_receita
51374900000130,RECEBA SEGURO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,FASE PRÉ-OPERACIONAL,,FUNDO DE INVESTIMENTO,cvm
02166941000125,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,SP,ATIVA,,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",minha_receita_qsa
46740698000182,SAUSALITO PARTICIPACOES LTDA,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
46909301000133,SDG II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita
35302718000117,SEFERPAR PARTICIPACOES E INVESTIMENTOS S.A.,SP,ATIVA,,Holdings de instituições não-financeiras,minha_receita_qsa
39701783000176,SIRLOIN PARTICIPACOES LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
28264093000180,SMART AGRO INVESTIMENTOS LTDA,SP,ATIVA,1000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
42373402000181,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,SP,ATIVA,200000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
56823324000184,STERN FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita_qsa
31446245000170,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,SP,SUSPENSA,2562578700.0,Holdings de instituições não-financeiras,minha_receita
31963292000191,TALLÍNN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
09121454000195,TERCON INVESTIMENTOS S.A.,SP,ATIVA,600000.0,Atividades de administração de fundos por contrato ou comissão,minha_receita
64079695000121,TERIS PARTICIPACOES LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
53311600000137,TERMOPILAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,SP,ATIVA,,"Fundos de investimento, exceto previdenciários e imobiliários",minha_receita
41572679000170,TIDAS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
67030395000146,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SP,ATIVA,1566600.0,Distribuidoras de títulos e valores mobiliários,minha_receita
37665902000157,TRUSTEE HOLDING FINANCEIRA S/A,SP,ATIVA,,Holdings de instituições financeiras,minha_receita_qsa
28810952000190,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
13707891000162,VIAJA BRASIL FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,,CANCELADA,,FUNDO DE INVESTIMENTO,cvm
07875796000175,VIKING PARTICIPACOES LTDA,MG,ATIVA,100000000.0,Holdings de instituições não-financeiras,minha_receita
51213651000109,WILL BANK HOLDING FINANCEIRA LTDA,SP,ATIVA,1000.0,Holdings de instituições não-financeiras,minha_receita
23862762000100,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO - EM LIQUIDACAO EXTRAJUDICIAL",SP,ATIVA,370000000.0,"Sociedades de crédito, financiamento e investimento - financeiras",minha_receita
16552209000106,YCNEX PARTICIPACOES S/A,SP,ATIVA,,"Outras sociedades de participação, exceto holdings",minha_receita_qsa
