de,de_label,de_tipo,para,para_label,para_tipo,tipo_relacao,detalhes,fonte
DEIVIS_ANTUNES,Deivis Marcon Antunes,Pessoa Física,RIOPREVIDENCIA,RioPrevidência,Órgão Público RPPS,PRESIDIU,05/07/2023 a jan/2026; renúncia em meio à investigação,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
DEIVIS_ANTUNES,Deivis Marcon Antunes,Pessoa Física,POLICIA_FEDERAL,Polícia Federal,Órgão Regulador,PRESO_POR,03/02/2026 (2ª fase Compliance Zero),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
DIEGO_NASCIMENTO,Diego Peres da Costa Nascimento,Pessoa Física,FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,DIRETOR_DE_GESTAO,Diretor responsável pela gestão da carteira,CVMWeb consulta manual 03/06/2026
FABIANO_ZETTEL,Fabiano Zettel,Pessoa Física,SUPER_EMPREENDIMENTOS,Super Empreendimentos,Empresa,DIRETOR,Diretor entre ago/2021 e jul/2024,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
FICTOR,Fictor Holding Financeira,Holding,BANCO_MASTER,Banco Master,Instituição Financeira,COMPRA_ANUNCIADA,Mar/2025; BACEN bloqueou em 17/11/2025,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
FIDC_MARANTA,FIDC Maranta,Fundo de Investimento,LORMONT_PART,Lormont Participações,Empresa,TEM_CCB,"R$ 73,7 mi em CCBs Lormont (97% do portfólio)",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
FUNDO_ANNA,Fundo Anna,Fundo de Investimento,FUNDO_HANS_95,Fundo Hans 95,Fundo de Investimento,CONTROLADO_POR,A participação do Hans 95 no SDG II ocorre por meio do fundo Anna.,ICL/Folha 2026-05-28
FUNDO_LANCIA,Fundo Lancia!,Fundo de Investimento,NGV_SPE,NGV SPE,Empresa,POSSUI_DEBENTURE,Possui duas debêntures da NGV SPE totalizando R$ 30 milhões.,ICL/Folha 2026-05-28
FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,FUNDO_ANNA,Fundo Anna,Fundo de Investimento,TEM_COTISTA,Fundo Anna é um dos dois únicos cotistas do SDG II.,ICL/Folha 2026-05-28
FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,MKS_SOLUCOES,MKS Soluções Integradas,Empresa,TEM_COTISTA,MKS é cotista direta do fundo SDG II.,ICL/Folha 2026-05-28
FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,LORMONT_PART,Lormont Participações,Empresa,CREDITO_A_RECEBER,Possui R$ 553 milhões em créditos a receber da Lormont.,ICL/Folha 2026-05-28
FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,BANVOX,Banvox,Empresa,POSSUI_DEBENTURE,Carrega R$ 380 milhões em debêntures da Banvox.,ICL/Folha 2026-05-28
FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,SUPER_EMPREENDIMENTOS,Super Empreendimentos,Empresa,CREDITO_A_RECEBER,Possui R$ 22 milhões em créditos a receber da Super Empreendimentos.,ICL/Folha 2026-05-28
FUNDO_TERMOPILAS,Fundo Termópilas,Fundo de Investimento,SUPER_EMPREENDIMENTOS,Super Empreendimentos,Empresa,PRINCIPAL_ACIONISTA,"Termópilas é o principal acionista da Super (R$ 2,6 bi de capital)",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
GILSON_VASCONCELOS,Gilson Bahia Vasconcelos,Pessoa Física,MIDIAS_PROMOTORA,Mídias Promotora Ltda,Empresa,SOCIO_LARANJA,Único sócio aparente; beneficiário do auxílio emergencial pandemia,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
INOVANTI,Inovanti Instituição de Pagamento,Fintech/IP,FIDC_GOLD_STYLE,Fundo Gold Style FIDC,Fundo de Investimento,APORTOU,R$ 175 mi,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
JOAO_MANSUR,João Carlos Mansur,Pessoa Física,REAG_INVEST,Reag Investimentos,Gestora,FUNDADOR,Fundou em 2012,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
JOAO_MANSUR,João Carlos Mansur,Pessoa Física,CBSF_DTVM,CBSF DTVM (ex-Reag Trust),DTVM,CONTROLADOR,Antiga Reag Trust DTVM,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
LORMONT_PART,Lormont Participações,Empresa,REAG_INVEST,Reag Investimentos,Gestora,FLUXO_R720MI,Empréstimos para Reag R$ 720 mi (Carbono Oculto),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
MARCOS_F_COSTA,Marcos Ferreira Costa,Pessoa Física,FUNDO_SDG_II,Fundo SDG II (FIDC),Fundo de Investimento,DIRETOR_DO_FUNDO,Diretor responsável formal do fundo SDG II,CVMWeb consulta manual 03/06/2026
MAURICIO_QUADRADO,Maurício Quadrado,Pessoa Física,BANVOX,Banvox,Empresa,EX_DONO,Era o proprietário da Banvox antes de sair do Banco Master.,ICL/Folha 2026-05-28
MAURICIO_QUADRADO,Maurício Quadrado,Pessoa Física,BANCO_MASTER,Banco Master,Instituição Financeira,EX_SOCIO,Ex-sócio de Daniel Vorcaro no Banco Master.,ICL/Folha 2026-05-28
MAURICIO_QUADRADO,Maurício Quadrado,Pessoa Física,PLANNER,Planner Corretora,Corretora,EX_SOCIO,"Sócio até 2022, quando criou Trustee DTVM",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
MOHAMAD_MOURAD,Mohamad Hussein Mourad,Pessoa Física,ASTER_PETROLEO,Aster Petróleo LTDA.,Empresa,LIGADO_A,,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
MOHAMAD_MOURAD,Mohamad Hussein Mourad,Pessoa Física,COPAPE,Copape Produtos de Petróleo,Empresa,LIGADO_A,,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
NELSON_TANURE,Nelson Tanure,Pessoa Física,LORMONT_PART,Lormont Participações,Empresa,LIGADO_A,Empresário controlador ou fortemente associado à Lormont.,ICL/Folha 2026-05-28
NELSON_TANURE,Nelson Tanure,Pessoa Física,FIDC_MARANTA,FIDC Maranta,Fundo de Investimento,BENEFICIARIO_FINAL,"Via Lormont; CCBs R$ 73,7 mi = 97% do portfólio",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
NGV_SPE,NGV SPE,Empresa,FUNDO_LANCIA,Fundo Lancia!,Fundo de Investimento,PRORROGACAO_CONTRATUAL,Aditivos sucessivos (2020-2024) adiaram juros e principal para evitar inadimplência visível.,ICL/Folha 2026-05-28
OP_CARBONO_OCULTO,Operação Carbono Oculto,Operação Policial,REAG_INVEST,Reag Investimentos,Gestora,INVESTIGA,Lavagem PCC; deflagrada 28/08/2025,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
OP_CARBONO_OCULTO,Operação Carbono Oculto,Operação Policial,BANVOX,Banvox,Empresa,INVESTIGA,Banvox DTVM também acusada,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
OP_CARBONO_OCULTO,Operação Carbono Oculto,Operação Policial,ASTER_PETROLEO,Aster Petróleo LTDA.,Empresa,INVESTIGA,PCC combustíveis,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
OP_CARBONO_OCULTO,Operação Carbono Oculto,Operação Policial,BK_BANK,BK Bank (Instituição de Pagamento),Fintech/IP,INVESTIGA,PCC fintech,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
OP_CARBONO_OCULTO,Operação Carbono Oculto,Operação Policial,INOVANTI,Inovanti Instituição de Pagamento,Fintech/IP,INVESTIGA,PCC fintech,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
REAG_INVEST,Reag Investimentos,Gestora,CBSF_DTVM,CBSF DTVM (ex-Reag Trust),DTVM,GRUPO,Liquidada 15/01/2026 pelo BACEN,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
REAG_INVEST,Reag Investimentos,Gestora,FIDC_GOLD_STYLE,Fundo Gold Style FIDC,Fundo de Investimento,ADMINISTRA,Recebeu R$ 1 bi de empresas PCC,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
REAG_INVEST,Reag Investimentos,Gestora,FUNDO_TERMOPILAS,Fundo Termópilas,Fundo de Investimento,ADMINISTRA,,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
REAG_INVEST,Reag Investimentos,Gestora,FUNDO_ALUCARD,Alucard/Abbiamo FIP Multiestratégia,Fundo de Investimento,ADMINISTRA,"Controla Allora, Lenore, Milano, Stanza, Domani, Chesapeake",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
REAG_INVEST,Reag Investimentos,Gestora,FUNDO_HANS_95,Fundo Hans 95,Fundo de Investimento,ADMINISTRA,Hans 95 pertence à Reag (ICL),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
REAG_INVEST,Reag Investimentos,Gestora,CBSF_TRUST_ADM,CBSF Trust Administradora de Recursos Ltda,Gestora,GRUPO,CBSF Trust pertence ao grupo Reag (site www.reag.com.br),CVMWeb consulta manual 03/06/2026
RICARDO_SIQUEIRA,Ricardo Siqueira Rodrigues,Pessoa Física,CLAUDIO_CASTRO,Cláudio Castro,Pessoa Física,INTERMEDIOU,Aproximou banqueiro do governador (PF),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
RICARDO_SIQUEIRA,Ricardo Siqueira Rodrigues,Pessoa Física,DANIEL_VORCARO,Daniel Vorcaro,Pessoa Física,INTERMEDIOU,"Articulador, capturer e lobbyist; identificava oportunidades",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
RICARDO_SIQUEIRA,Ricardo Siqueira Rodrigues,Pessoa Física,MIDIAS_PROMOTORA,Mídias Promotora Ltda,Empresa,OPERA_LARANJA,Empresa registrada em nome de testa-de-ferro (Gilson Vasconcelos),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
RICARDO_SIQUEIRA,Ricardo Siqueira Rodrigues,Pessoa Física,TRUMP_HOTEL_BARRA,Antigo Trump Hotel Barra/RJ,Empresa,FRAUDOU,R$ 17 mi (caso anterior),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
RIOPREVIDENCIA,RioPrevidência,Órgão Público RPPS,BANCO_MASTER,Banco Master,Instituição Financeira,APORTE_FINANCEIRO,"R$ 3,69 bi total entre 2023-2024 (LFs + fundos)",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
RIOPREVIDENCIA,RioPrevidência,Órgão Público RPPS,BANCO_MASTER,Banco Master,Instituição Financeira,APORTE_LF_SINCRONO,R$ 80 mi em 15/05/2024 (24h após encontro Castro-Vorcaro em NY),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
RIOPREVIDENCIA,RioPrevidência,Órgão Público RPPS,BANCO_MASTER,Banco Master,Instituição Financeira,APORTE_LFS_PERIODO,R$ 960 mi em LFs entre out/2023 e ago/2024 (venc. 2033-2034),G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
RIOPREVIDENCIA,RioPrevidência,Órgão Público RPPS,BANCO_MASTER,Banco Master,Instituição Financeira,APORTE_7_DEPOSITOS,7 depósitos entre nov/2023 e jul/2024 somando R$ 970 mi,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
TIRRENO,Tirreno (empresa-fachada),Empresa,BRB,Banco de Brasília,Instituição Financeira,VENDEU_CARTEIRAS,"R$ 12,2 bi em carteiras fictícias (PF: contratos fabricados)",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
