nome,n_empresas,cargos,empresas,primeira_entrada,ultima_entrada,faixa_etaria
LUIS FERNANDO DE ALMEIDA,3,Administrador,"MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA",2025-07-23,2026-01-20,Entre 31 a 40 anos
RENATA FERRAZ DE ANDRADE DE ALMEIDA SOUZA,3,"Administrador,Sócio-Administrador","SQUALO CAPITAL GESTORA DE RECURSOS LTDA,VANQUISH INVESTIMENTOS E PARTICIPACOES LTDA,ACQUA&CO CAPITAL LTDA",2017-10-06,2024-05-01,Entre 41 a 50 anos
RENATO STEINLE DE CAMARGO,3,"Administrador,Diretor","ASTER PETROLEO LTDA.,CONTROL PARTICIPACOES LTDA.,GASP PARTICIPACOES E INVESTIMENTOS S.A.",2020-06-18,2020-09-24,Entre 41 a 50 anos
ANDRE KRUSCHEWSKY LIMA,2,Diretor,"BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,BANCO MASTER MULTIPLO S.A.",2023-02-13,2023-10-27,Entre 41 a 50 anos
ANTONIO CARLOS AMANCIO,2,"Administrador,Presidente","ACURA GESTORA DE RECURSOS LTDA.,SEFERPAR PARTICIPACOES E INVESTIMENTOS S.A.",2020-08-10,2026-03-23,Entre 61 a 70 anos
ARTUR MARTINS DE FIGUEIREDO,2,Diretor,"BANVOX HOLDING FINANCEIRA S.A.,TRUSTEE HOLDING FINANCEIRA S/A",2019-12-31,2020-09-25,Entre 51 a 60 anos
BRUNO LOPRESTI LAGE,2,"Administrador,Diretor","CATALISE INVESTIMENTOS LTDA,CATALISE CAPITAL PARTNERS S.A.",2015-10-23,2019-03-29,Entre 31 a 40 anos
CLAUDILENE FATIMA DE SOUZA SILVA,2,"Administrador,Diretor","GESTACAR GESTAO DE NEGOCIOS LTDA,GESTACAR HOLDING S.A",2007-03-30,2012-05-11,Entre 51 a 60 anos
ESTEVAM BORALI,2,Administrador,"TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA",2022-08-26,2024-06-20,Entre 31 a 40 anos
JOSE RICARDO DE QUEIROZ PEREIRA,2,"Diretor,Sócio-Administrador","MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL,MASTER PATRIMONIAL LTDA",2013-10-31,2022-07-08,Entre 51 a 60 anos
LUCIMARA DE ARAUJO LIMA,2,"Administrador,Sócio","ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,ID ACCESS LTDA",2023-09-15,2023-11-09,Entre 41 a 50 anos
MARCELO AKIRA AOKI,2,"Administrador,Diretor","CATALISE INVESTIMENTOS LTDA,CATALISE CAPITAL PARTNERS S.A.",2013-05-20,2019-03-29,Entre 31 a 40 anos
MARCOS ANTONIO DA COSTA BAPTISTA,2,"Diretor,Administrador","CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA",2023-10-31,2023-11-07,Entre 51 a 60 anos
MARCOS FERREIRA COSTA,2,"Diretor,Administrador","CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA",2024-09-30,2024-12-02,Entre 41 a 50 anos
MOISES EDUARDO SOARES PEREIRA,2,"Administrador,Sócio-Administrador","HD PETROLEO LTDA,PIMA ENERGIA PARTICIPACOES LTDA",2023-12-22,2024-01-18,Entre 51 a 60 anos
RAFAEL FLORES NUNES,2,"Administrador,Diretor","HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIARIOS LTDA,HARBOUR HOLDING S.A",2020-01-17,2024-10-02,Entre 31 a 40 anos
REINALDO HOSSEPIAN SALLES LIMA,2,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL",2023-02-16,2024-11-01,Entre 61 a 70 anos
ROGERIO PENTEADO FELGUEIRAS,2,Administrador,"TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA",2019-01-15,2025-06-13,Entre 51 a 60 anos
SILVANO GERSZTEL,2,"Presidente,Administrador","CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,CBSF PARTICIPACOES LTDA",2019-09-11,2025-05-12,Entre 41 a 50 anos
VIVIANE APARECIDA RODRIGUES AFONSO,2,"Diretor,Administrador","BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA",2021-02-23,2024-09-20,Entre 41 a 50 anos
WEAKER BATISTA NETO,2,"Administrador,Presidente","3P HOLDING LTDA,YCNEX PARTICIPACOES S/A",2012-07-06,2023-08-14,Entre 51 a 60 anos
ADRIANA DIRENE CHAIA,1,Sócio-Administrador,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,1997-08-01,1997-08-01,Entre 51 a 60 anos
ADRIANO GARZON CORREA,1,Administrador,VIKING PARTICIPACOES LTDA,2025-09-29,2025-09-29,Entre 41 a 50 anos
ALAN RIGONI DE ALMEIDA SOUZA,1,Administrador,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,2021-06-17,2021-06-17,Entre 41 a 50 anos
ALEXANDRE MARCHESANI CANATA,1,Administrador,AXOR ASSET LTDA,2025-05-05,2025-05-05,Entre 51 a 60 anos
ALEXANDRE PIOVESAN,1,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,2024-10-24,2024-10-24,Entre 51 a 60 anos
ANA CLAUDIA QUEIROZ DE PAIVA,1,Diretor,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,2021-08-18,2021-08-18,Entre 31 a 40 anos
ANA LUIZA MARRARA GIANCOLI,1,Sócio,BE HOLDING LTDA,2026-01-15,2026-01-15,Entre 41 a 50 anos
ANDRE LUIS FAUTH,1,Diretor,CATALISE CAPITAL PARTNERS S.A.,2023-11-27,2023-11-27,Entre 61 a 70 anos
ANDREA LANZETTI DA SILVA,1,Sócio-Administrador,BARTHMAN HOLDING LTDA,2023-07-28,2023-07-28,Entre 51 a 60 anos
ANGELA AGOSTINI VASCONCELLOS,1,Diretor,TERCON INVESTIMENTOS S.A.,2015-05-14,2015-05-14,Entre 41 a 50 anos
ARGEU DE LIMA GEO FILHO,1,Diretor,RDA MINERACAO S.A.,2024-01-18,2024-01-18,Entre 21 a 30 anos
AUGUSTO FERREIRA LIMA,1,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,2023-02-13,2023-02-13,Entre 41 a 50 anos
BRUNO CUNHA ALMEIDA,1,Diretor,BANCO PAULISTA S.A.,2025-03-17,2025-03-17,Entre 41 a 50 anos
CAMILA DA SILVA FERREIRA OLIVEIRA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2022-11-09,2022-11-09,Entre 31 a 40 anos
CARLOS ALBERTO INOCENCIO,1,Administrador,MASTER PATRIMONIAL LTDA,2013-10-31,2013-10-31,Entre 61 a 70 anos
CARLOS ARNALDO BORGES DE SOUZA,1,Presidente,COMPANHIA BRASILEIRA DE SERVICOS FINANCEIROS,2026-03-02,2026-03-02,Entre 61 a 70 anos
CINTIA SILVA OLIVEIRA COSTA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2024-07-16,2024-07-16,Entre 41 a 50 anos
CLAUDIO BLANCO MORENO,1,Diretor,TERCON INVESTIMENTOS S.A.,2016-02-02,2016-02-02,Entre 51 a 60 anos
DANILO CASTRO FERREIRA,1,Diretor,TERCON INVESTIMENTOS S.A.,2016-02-02,2016-02-02,Entre 31 a 40 anos
DAVID JESUS GIL FERNANDEZ,1,Sócio-Administrador,INFINITY ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA.,1999-09-17,1999-09-17,Entre 51 a 60 anos
DIOGENES ROCHA MENEZES DA SILVA,1,Diretor,TERCON INVESTIMENTOS S.A.,2016-02-02,2016-02-02,Entre 31 a 40 anos
EDUARDO RIBEIRO DE MOURA,1,Sócio-Administrador,GLOBAL GESTAO E INVESTIMENTOS LTDA,2012-09-28,2012-09-28,Entre 51 a 60 anos
EDUARDO TELLECHEA CAIROLI,1,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,2013-11-05,2013-11-05,Entre 41 a 50 anos
EDWARD BERTELLI JUNIOR,1,Diretor,LIBERTAS ASSET S.A.,2023-02-03,2023-02-03,Entre 61 a 70 anos
FABRICIO VERMELHO MARTINS,1,Sócio,MONETIZA INVESTIMENTOS LTDA,2007-03-16,2007-03-16,Entre 51 a 60 anos
FELIPE CANCADO VORCARO,1,Administrador,ORION BH DESENVOLVIMENTO IMOBILIARIO SPE LTDA,2015-07-24,2015-07-24,Entre 31 a 40 anos
FELIPE FELIX SOARES DE SOUSA,1,Diretor,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO - EM LIQUIDACAO EXTRAJUDICIAL",2021-09-08,2021-09-08,Entre 31 a 40 anos
FELIPE MOTA SEPAROVIC RODRIGUES,1,Sócio-Administrador,AXOR ASSET LTDA,2022-09-12,2022-09-12,Entre 41 a 50 anos
FELIPE WALLACE SIMONSEN,1,Diretor,BANCO MASTER S/A - EM LIQUIDACAO EXTRAJUDICIAL,2021-11-23,2021-11-23,Entre 51 a 60 anos
GIOVANA DIRENE CHAIA,1,Sócio,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,2025-06-25,2025-06-25,Entre 21 a 30 anos
GIOVANNI PIANA NETTO,1,Sócio-Administrador,WILL BANK HOLDING FINANCEIRA LTDA,2023-09-19,2023-09-19,Entre 41 a 50 anos
GUILHERME MOURAO VAZ,1,Diretor,LIBERTAS ASSET S.A.,2019-02-14,2019-02-14,Entre 31 a 40 anos
GUSTAVO RODRIGUES OLIVEIRA E SILVA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2024-07-16,2024-07-16,Entre 31 a 40 anos
HENRIQUE MOURA VORCARO,1,Presidente,PACIFIC REALTY S/A,2023-09-21,2023-09-21,Entre 61 a 70 anos
HIGOR FERREIRA DE LIMA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2026-04-13,2026-04-13,Entre 21 a 30 anos
ISABELA BENATTI RISPOLI,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2025-09-02,2025-09-02,Entre 21 a 30 anos
ISABELE PERES CHIARADIA BISSOLI,1,Sócio,ID ACCESS LTDA,2023-09-15,2023-09-15,Entre 21 a 30 anos
JACQUELINE FULAS BIFON PAPA,1,Administrador,ACURA GESTORA DE RECURSOS LTDA.,2026-02-11,2026-02-11,Entre 31 a 40 anos
JAIR LEMES GONCALVES NETO,1,Sócio-Administrador,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",2008-03-25,2008-03-25,Entre 41 a 50 anos
JENNYFER ANJOS,1,Sócio,ID ACCESS LTDA,2023-09-15,2023-09-15,Entre 21 a 30 anos
JOAO CARLOS FALBO MANSUR,1,Administrador,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA,2025-11-25,2025-11-25,Entre 51 a 60 anos
JOAO EDUARDO PIRES PINHEIRO DE LIMA,1,Sócio-Administrador,PIRES FOMENTO MERCANTIL LTDA,2010-02-04,2010-02-04,Entre 41 a 50 anos
JOAQUIM ROMEU ESPINHEIRA TEIXEIRA FERRAZ,1,Diretor,PORTO TRANCOSO EMPREENDIMENTOS IMOBILIARIOS S/A,2019-03-06,2019-03-06,Entre 61 a 70 anos
JONATHAN MARTINS BARRETO,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2026-04-13,2026-04-13,Entre 21 a 30 anos
JOSE ROBERTO SILVA OLIVEIRA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2024-07-16,2024-07-16,Entre 51 a 60 anos
JOSE ROLDAO DE ALMEIDA SOUZA,1,Sócio-Administrador,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,2021-06-17,2021-06-17,Entre 71 a 80 anos
JOSE ROMEU FERRAZ NETO,1,Diretor,PORTO TRANCOSO EMPREENDIMENTOS IMOBILIARIOS S/A,2004-01-29,2004-01-29,Entre 61 a 70 anos
LEONARDO AUGUSTO FURTADO PALHARES,1,Diretor,SUPER EMPREENDIMENTOS E PARTICIPACOES S.A,2024-07-23,2024-07-23,Entre 41 a 50 anos
LUCAS DIAS TREVISAN,1,Diretor,COMPANHIA BRASILEIRA DE SERVICOS FINANCEIROS,2025-10-31,2025-10-31,Entre 31 a 40 anos
LUCAS LANZETTI BARTHMAN,1,Sócio-Administrador,BARTHMAN HOLDING LTDA,2023-07-28,2023-07-28,Entre 31 a 40 anos
LUCAS MATTIONI BRENDLER,1,Sócio,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,2025-12-08,2025-12-08,Entre 41 a 50 anos
LUCIANO WAJCHENBERG,1,Sócio-Administrador,MENESTYS GESTORA DE RECURSOS LTDA,2024-10-24,2024-10-24,Entre 41 a 50 anos
LUIS FELIPE PIRES PINHEIRO DE LIMA,1,Sócio-Administrador,PIRES FOMENTO MERCANTIL LTDA,2010-02-04,2010-02-04,Entre 41 a 50 anos
LUIZ ANTONIO CARDOSO,1,Sócio-Administrador,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",2025-01-15,2025-01-15,Entre 71 a 80 anos
LUIZ EDUARDO DE MEDEIROS COSTA,1,Sócio-Administrador,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPACOES LTDA",2023-03-28,2023-03-28,Entre 21 a 30 anos
LUIZ FELIPE SEEGMULLER DE CARVALHO,1,Sócio-Administrador,MONETIZA INVESTIMENTOS LTDA,2022-01-24,2022-01-24,Entre 31 a 40 anos
LUIZ FELIPPE CRUZ GENERALI,1,Sócio-Administrador,SMART AGRO INVESTIMENTOS LTDA,2017-07-26,2017-07-26,Entre 51 a 60 anos
LUIZ FERNANDO CONTE VASCONCELLOS,1,Diretor,TERCON INVESTIMENTOS S.A.,2010-05-07,2010-05-07,Entre 71 a 80 anos
LUIZ HENRIQUE MIELKE WICKERT,1,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,2025-12-08,2025-12-08,Entre 31 a 40 anos
MARCELO ADILSON TAVARONE TORRESI,1,Presidente,BANCO PAULISTA S.A.,2026-04-24,2026-04-24,Entre 51 a 60 anos
MARCELO ALBERTO COUTO,1,Diretor,TERCON INVESTIMENTOS S.A.,2015-05-14,2015-05-14,Entre 61 a 70 anos
MARCELO ALVES DE CARVALHO ALMEIDA,1,Diretor,BANCO PAULISTA S.A.,2025-11-10,2025-11-10,Entre 41 a 50 anos
MARCELO DIAS PEREZ,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2025-09-02,2025-09-02,Entre 51 a 60 anos
MARCELO FARIA RODRIGUES,1,Diretor,LIBERTAS ASSET S.A.,2019-02-14,2019-02-14,Entre 51 a 60 anos
MARCELO GUEDES MORAES,1,Administrador,CONCESSOES E PARTICIPACOES BR LTDA,2025-12-09,2025-12-09,Entre 31 a 40 anos
MARCIO BOTANA MORAES,1,Diretor,PORTO TRANCOSO EMPREENDIMENTOS IMOBILIARIOS S/A,2004-01-29,2004-01-29,Entre 61 a 70 anos
MARIA CANDIDA DE CAMPOS VERGANI BULHOES,1,Diretor,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,2022-05-24,2022-05-24,Entre 61 a 70 anos
MARIA TEREZA ABBOUD JUNQUEIRA BIAVA,1,Sócio,TERIS PARTICIPACOES LTDA,2025-12-16,2025-12-16,Entre 41 a 50 anos
MARIANA MARCHON BARCELLOS SILVA,1,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,2026-02-24,2026-02-24,Entre 31 a 40 anos
NATALIA BUENO VORCARO ZETTEL,1,Diretor,PACIFIC REALTY S/A,2015-12-02,2015-12-02,Entre 31 a 40 anos
NILEIDE GUERRA DE ABREU,1,Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,2024-04-02,2024-04-02,Entre 31 a 40 anos
RAFAEL VIEIRA E FORNARI,1,Sócio-Administrador,SIRLOIN PARTICIPACOES LTDA,2020-11-06,2020-11-06,Entre 41 a 50 anos
RICARDO SAAD NETO,1,Diretor,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO - EM LIQUIDACAO EXTRAJUDICIAL",2021-09-08,2021-09-08,Entre 31 a 40 anos
RICARDO SILVA VASCONCELLOS,1,Administrador,ACURA GESTORA DE RECURSOS LTDA.,2025-07-01,2025-07-01,Entre 41 a 50 anos
ROBERTO MUSTO,1,Diretor,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,2024-11-01,2024-11-01,Entre 61 a 70 anos
ROBSON SHOITI SAKURAI,1,Diretor,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,2025-07-18,2025-07-18,Entre 51 a 60 anos
RODOLFO TURELLI,1,Diretor,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,2026-03-10,2026-03-10,Entre 41 a 50 anos
RODRIGO ANDRADE VALADARES GONTIJO,1,Diretor,RDA MINERACAO S.A.,2024-01-18,2024-01-18,Entre 51 a 60 anos
RODRIGO FRANCISCO DOS SANTOS,1,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,2024-10-24,2024-10-24,Entre 41 a 50 anos
RODRIGO JOSE RODRIGUES,1,Sócio-Administrador,SIRLOIN PARTICIPACOES LTDA,2021-01-04,2021-01-04,Entre 51 a 60 anos
RODRIGO MEDRADO GEO,1,Diretor,RDA MINERACAO S.A.,2024-01-18,2024-01-18,Entre 31 a 40 anos
ROGERIO AVERSA DE OLIVEIRA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2022-11-09,2022-11-09,Entre 41 a 50 anos
RONALDO VIEIRA BENTO,1,Diretor,BANCO PLENO SA,2025-08-25,2025-08-25,Entre 41 a 50 anos
RUI LUIS FERNANDES,1,Diretor,BANCO PAULISTA S.A.,2013-02-07,2013-02-07,Entre 61 a 70 anos
SEIGO NAKAMURA,1,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,2026-02-24,2026-02-24,Entre 51 a 60 anos
SILVIO BARRETO DA SILVA,1,Diretor,LORMONT PARTICIPACOES S.A,2023-12-14,2023-12-14,Entre 51 a 60 anos
TAINARA LANZETTI BARTHMAN,1,Sócio-Administrador,BARTHMAN HOLDING LTDA,2023-07-28,2023-07-28,Entre 21 a 30 anos
TELEMACO GENOVESI JUNIOR,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2026-04-13,2026-04-13,Entre 51 a 60 anos
THAYUHANY PEREIRA TELES SILVA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2022-11-09,2022-11-09,Entre 31 a 40 anos
THIAGO MALZONI MONTEIRO,1,Sócio-Administrador,SMART AGRO INVESTIMENTOS LTDA,2017-07-26,2017-07-26,Entre 31 a 40 anos
THIAGO SOUZA GRAMARI,1,Diretor,COMPANHIA BRASILEIRA DE SERVICOS FINANCEIROS,2026-03-02,2026-03-02,Entre 41 a 50 anos
VANESSA SCALANTE JOHANN,1,Sócio,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,2024-04-12,2024-04-12,Entre 31 a 40 anos
VICTOR DIRENE CHAIA,1,Sócio,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,2025-06-25,2025-06-25,Entre 21 a 30 anos
VINICIUS DA SILVA PINTO,1,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",2021-01-10,2021-01-10,Entre 41 a 50 anos
VINICIUS GONCALVES GARCIA,1,Sócio,ID ACCESS LTDA,2024-02-26,2024-02-26,Entre 31 a 40 anos
VITOR MANUEL FARINHA NUNES,1,Conselheiro de Administração,BANCO MASTER MULTIPLO S.A.,2015-10-21,2015-10-21,Entre 61 a 70 anos
WALESSA ALVES LEAL,1,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,2021-02-26,2021-02-26,Entre 31 a 40 anos
WALTER JOSE BOINA PIANA,1,Sócio-Administrador,WILL BANK HOLDING FINANCEIRA LTDA,2023-09-19,2023-09-19,Entre 41 a 50 anos
WALTER JOSE PIANA,1,Sócio,WILL BANK HOLDING FINANCEIRA LTDA,2023-09-19,2023-09-19,Entre 71 a 80 anos
WEAKER LENIO COSTA BATISTA,1,Diretor,YCNEX PARTICIPACOES S/A,2012-07-06,2012-07-06,Entre 71 a 80 anos
WELBERT LEROY NEVES,1,Administrador,GLOBAL GESTAO E INVESTIMENTOS LTDA,2019-10-15,2019-10-15,Entre 41 a 50 anos
WILLIAM WAGNER DA SILVA,1,Diretor,GESTACAR HOLDING S.A,2007-03-30,2007-03-30,Entre 51 a 60 anos
