fundo,cnpj_fundo,papel,prestador,cnpj_prestador
BANESTES FMP-FGTS VALE DO RIO DOCE,04894428000186,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BBA FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,40698790000145,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BBA FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,40698790000145,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BBA FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,40698790000145,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BBA FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,40698790000145,gestor,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181
BBFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO,39248102000166,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BBFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO,39248102000166,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BBFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO,39248102000166,gestor,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,21046086000163
BGR - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO- PADRONIZADOS,40319398000148,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BGR - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO- PADRONIZADOS,40319398000148,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BGR - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO- PADRONIZADOS,40319398000148,gestor,CATÁLISE INVESTIMENTOS LTDA.,18223260000191
BONUSCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,44668849000103,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BONUSCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,44668849000103,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
BONUSCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,44668849000103,gestor,MONETIZA INVESTIMENTOS LTDA.,06238550000120
CAPITAL + FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52114474000168,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
CAPITAL + FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52114474000168,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
CAPITAL + FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52114474000168,gestor,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,21180163000173
DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,27531264000128,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,27531264000128,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,27531264000128,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,27531264000128,custodiante,BANCO PAULISTA S.A.,61820817000109
DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,27531264000128,gestor,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPAÇÕES LTDA.",09463122000199
DUO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,27531264000128,gestor,"BRAVA GESTORA DE RECURSOS, CONSULTORIA E PARTICIPAÇÕES LTDA.",09463122000199
E3 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,28880602000108,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
E3 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,28880602000108,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
E3 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,28880602000108,gestor,CATÁLISE INVESTIMENTOS LTDA.,18223260000191
FDO INV IMOB PIT STOCK,01460572000116,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
FDO INV IMOB TIME CENTER,02739110000103,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
FERGUS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,46745079000180,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
FERGUS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,46745079000180,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
FERGUS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,46745079000180,gestor,CATÁLISE INVESTIMENTOS LTDA.,18223260000191
FINANZE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,46268930000121,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
FINANZE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,46268930000121,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
FINANZE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,46268930000121,gestor,CATÁLISE INVESTIMENTOS LTDA.,18223260000191
FUNDO DE INVESTIMENTO IMOBILIARIO - FII ESMERALDA,14788476000143,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,16685929000131,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,16685929000131,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA,16685929000131,gestor,BLUEMAC ASSET MANAGEMENT LTDA,47917164000141
GDN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,51566307000195,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
GDN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,51566307000195,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
GDN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,51566307000195,gestor,TERCON INVESTIMENTOS LTDA,09121454000195
GDN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,51569573000171,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
GDN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,51569573000171,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
GDN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,51569573000171,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
GDN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,51569573000171,gestor,TERCON INVESTIMENTOS LTDA,09121454000195
IDEIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,50167484000136,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
IDEIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,50167484000136,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
IDEIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,50167484000136,gestor,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,42373402000181
INFINITY DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,49088419000136,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
INFINITY DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,49088419000136,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
INFINITY DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,49088419000136,gestor,INFINITY ASSET MANAGEMENT ADMINISTRAÇÃO DE RECURSOS LTDA,03403181000195
ITC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,42639133000152,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
ITC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,42639133000152,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
ITC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,42639133000152,gestor,CATÁLISE INVESTIMENTOS LTDA.,18223260000191
K-INVESTING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,45563675000187,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
K-INVESTING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,45563675000187,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
K-INVESTING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,45563675000187,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
K-INVESTING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,45563675000187,gestor,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100
KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,31368739000184,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,31368739000184,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,31368739000184,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,31368739000184,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,31368739000184,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,31368739000184,gestor,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.,36040900000100
KATCH FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,31368739000184,gestor,HARBOUR CAPITAL ADMINISTRADORA DE CARTEIRAS DE VALORES MOBILIÁRIOS LTDA.,36040900000100
MAM EAGLE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,37178959000121,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAM EAGLE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,37178959000121,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAM EAGLE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,37178959000121,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAM EAGLE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,37178959000121,gestor,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,21180163000173
MAM SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO,41709776000162,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAM SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO,41709776000162,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAM SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO,41709776000162,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAM SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO,41709776000162,gestor,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,21180163000173
MANCHESTER I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,32287774000131,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MANCHESTER I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,32287774000131,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MANCHESTER I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,32287774000131,gestor,GLOBAL GESTÃO E INVESTIMENTOS LTDA,16925467000182
MARLIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,41576095000173,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MARLIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,41576095000173,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MARLIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,41576095000173,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MARLIN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,41576095000173,gestor,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,21180163000173
MAXIMA FMP-FGTS VALE DO RIO DOCE,04894438000111,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAXIMA PRIVATE EQUITY IX FUNDO DE INVESTIMENTO EM PARTICIPACOES,15381923000108,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAXIMA PRIVATE EQUITY IX FUNDO DE INVESTIMENTO EM PARTICIPACOES,15381923000108,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
MAXIMA PRIVATE EQUITY VI FUNDO DE INVESTIMENTO EM PARTICIPACOES,15383998000128,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAXIMA PRIVATE EQUITY VI FUNDO DE INVESTIMENTO EM PARTICIPACOES,15383998000128,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
MAXIMA PRIVATE EQUITY VII FUNDO DE INVESTIMENTO EM PARTICIPACOES,15388976000150,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAXIMA PRIVATE EQUITY VII FUNDO DE INVESTIMENTO EM PARTICIPACOES,15388976000150,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
MAXIMA PRIVATE EQUITY VIII FUNDO DE INVESTIMENTO EM PARTICIPACOES,15388352000133,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAXIMA PRIVATE EQUITY VIII FUNDO DE INVESTIMENTO EM PARTICIPACOES,15388352000133,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
MAXIMA PRIVATE EQUITY X FUNDO DE INVESTIMENTO EM PARTICIPACOES,15382091000144,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MAXIMA PRIVATE EQUITY X FUNDO DE INVESTIMENTO EM PARTICIPACOES,15382091000144,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
META FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,30142469000126,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
META FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,30142469000126,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
META FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,30142469000126,gestor,TERCON INVESTIMENTOS LTDA,09121454000195
MJC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA,37569593000111,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MJC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA,37569593000111,controlador,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MJC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA,37569593000111,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MJC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLASSE ÚNICA FECHADA,37569593000111,gestor,CARMEL GESTORA DE ATIVOS LTDA,24515907000151
MÁXIMA  FMP - FGTS  PETROBRAS,02727085000130,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MÁXIMA  FMP - FGTS  PETROBRAS,02727085000130,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MÁXIMA  FMP - FGTS  PETROBRAS,02727085000130,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MÁXIMA  FMP - FGTS  PETROBRAS,02727085000130,gestor,ACURA GESTORA DE RECURSOS LTDA,18167777000100
MÁXIMA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,13259717000102,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MÁXIMA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,13259717000102,custodiante,BANCO BRADESCO S.A.,60746948000112
MÁXIMA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,13259717000102,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
MÁXIMA PRIVATE EQUITY II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14587971000194,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MÁXIMA PRIVATE EQUITY II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14587971000194,custodiante,BANCO BRADESCO S.A.,60746948000112
MÁXIMA PRIVATE EQUITY II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14587971000194,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
MÁXIMA PRIVATE EQUITY III FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14576983000113,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MÁXIMA PRIVATE EQUITY III FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14576983000113,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
MÁXIMA PRIVATE EQUITY IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14580627000173,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MÁXIMA PRIVATE EQUITY IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14580627000173,custodiante,BANCO BRADESCO S.A.,60746948000112
MÁXIMA PRIVATE EQUITY IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14580627000173,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
MÁXIMA PRIVATE EQUITY V FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14580349000154,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
MÁXIMA PRIVATE EQUITY V FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14580349000154,custodiante,BANCO BRADESCO S.A.,60746948000112
MÁXIMA PRIVATE EQUITY V FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,14580349000154,gestor,MÁXIMA ASSET MANAGEMENT LTDA,03566273000196
PAG AÍ FUNDO DE INVESTIMENTO EM DIREITOS DE CREDITO,34849800000101,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
PAG AÍ FUNDO DE INVESTIMENTO EM DIREITOS DE CREDITO,34849800000101,custodiante,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
PAG AÍ FUNDO DE INVESTIMENTO EM DIREITOS DE CREDITO,34849800000101,gestor,TERCON INVESTIMENTOS LTDA,09121454000195
PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,35940506000165,admin,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",33886862000112
