cnpj,fundo,tipo,situacao,cnpj_admin,administrador,cnpj_gestor,gestor,admin_informe_fidc
52114474000168,CAPITAL + FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Fase Pré-Operacional,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,
41709776000162,MAM SELEÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS MULTIMERCADO,FI,Fase Pré-Operacional,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.,
45563675000187,K-INVESTING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,FI,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",50543106000100,MENESTYS GESTORA DE RECURSOS LTDA,
44668849000103,BONUSCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",6238550000120,MONETIZA INVESTIMENTOS LTDA.,
14576983000113,MÁXIMA PRIVATE EQUITY III FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
13707891000162,VIAJA BRASIL FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
14580349000154,MÁXIMA PRIVATE EQUITY V FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
14580627000173,MÁXIMA PRIVATE EQUITY IV FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
14587971000194,MÁXIMA PRIVATE EQUITY II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
15381923000108,MAXIMA PRIVATE EQUITY IX FUNDO DE INVESTIMENTO EM PARTICIPACOES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
15382091000144,MAXIMA PRIVATE EQUITY X FUNDO DE INVESTIMENTO EM PARTICIPACOES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
15388352000133,MAXIMA PRIVATE EQUITY VIII FUNDO DE INVESTIMENTO EM PARTICIPACOES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
15383998000128,MAXIMA PRIVATE EQUITY VI FUNDO DE INVESTIMENTO EM PARTICIPACOES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
13259717000102,MÁXIMA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
15388976000150,MAXIMA PRIVATE EQUITY VII FUNDO DE INVESTIMENTO EM PARTICIPACOES,FIP,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",3566273000196,MÁXIMA ASSET MANAGEMENT LTDA,
32287737000123,B4 TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Em Funcionamento Normal,24361690000172,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,11916849000126,OURO PRETO GESTÃO DE RECURSOS S.A.,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
41572679000170,TIDAS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",19207159000100,PRIVATTO ADMINISTRAÇÃO DE PATRIMÔNIO LTDA,
34081900000122,GOLD STYLE FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO NÃO PADRONIZADO,FIDC,Em Funcionamento Normal,34829992000186,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,46356742000155,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.
32088041000178,HANS 95 FUNDO DE INVESTIMENTO MULTIMERCADO E INVESTIMENTO NO EXTERIOR - CRÉDITO PRIVADO,FI,Em Funcionamento Normal,34829992000186,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,46356742000155,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,
56823324000184,STERN FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,FIP,Em Funcionamento Normal,23863529000134,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,46356742000155,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,
53311600000137,TERMOPILAS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,FIDC,Cancelado,34829992000186,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,46356742000155,REAG JUS GESTÃO DE ATIVOS JUDICIAIS LTDA.,
58807049000130,ABBIAMO FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,FIP,Em Funcionamento Normal,23863529000134,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA.,48954141000170,REAG PORTFÓLIO SOLUTIONS LTDA.,
42584801000191,MARANTA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,FI,Em Funcionamento Normal,34829992000186,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,48954141000170,REAG PORTFÓLIO SOLUTIONS LTDA.,
35940506000165,PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",28264093000180,SMART AGRO INVESTIMENTOS LTDA.,
35940506000165,PLATINIUM XXI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,FII,Fase Pré-Operacional,2671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,28264093000180,SMART AGRO INVESTIMENTOS LTDA.,
50167484000136,IDEIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",42373402000181,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,
40698790000145,BBA FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FI,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",42373402000181,SQUALO CAPITAL GESTORA DE RECURSOS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
51566307000195,GDN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",9121454000195,TERCON INVESTIMENTOS LTDA,
49225426000132,B4 IRENE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",9121454000195,TERCON INVESTIMENTOS LTDA,
34849800000101,PAG AÍ FUNDO DE INVESTIMENTO EM DIREITOS DE CREDITO,FIDC,Fase Pré-Operacional,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",9121454000195,TERCON INVESTIMENTOS LTDA,
30142469000126,META FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",9121454000195,TERCON INVESTIMENTOS LTDA,
51569573000171,GDN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,FI,Cancelado,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",9121454000195,TERCON INVESTIMENTOS LTDA,
42584801000191,MARANTA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,FIDC,Cancelado,34829992000186,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,28529686000121,WNT GESTORA DE RECURSOS LTDA,
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,Em Funcionamento Normal,34829992000186,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,28529686000121,WNT GESTORA DE RECURSOS LTDA,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.
29786909000107,LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FI,Cancelado,34829992000186,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,28529686000121,WNT GESTORA DE RECURSOS LTDA,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.
14788476000143,FUNDO DE INVESTIMENTO IMOBILIARIO - FII ESMERALDA,FII,Em Liquidação,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",,,
